	COND	CONDIRR	DN	DNN	IMP	IN	IRR	MODAL	QUEST	RESTR	all_occ	all_other	lemma	nonver	pos
30	68	239	1325	0	6	0	0	213	428	139	5794	5794	мочь	2418	VERB
31	0	0	26	0	0	0	0	0	0	0	383	383	единственный	26	ADJ
32	2	2	25	0	0	0	0	26	17	8	335	335	относиться	80	VERB
33	2	0	59	0	0	0	0	0	0	0	4452	4452	один	61	NUM
34	0	0	0	0	0	0	0	22	2	0	142	142	выделить	24	VERB
35	8	0	21	0	2	0	0	34	36	11	804	804	писать	112	VERB
36	0	6	46	0	0	0	0	15	14	8	234	234	означать	89	VERB
37	0	0	1022	0	0	0	0	0	0	0	3661	3661	только	1022	PART
38	0	0	12	0	0	0	0	20	0	3	177	177	применять	35	VERB
39	3	4	11	0	0	0	0	16	0	0	110	110	обратить	34	VERB
40	4	2	35	2	2	0	0	21	6	2	304	304	терять	74	VERB
41	0	0	5	0	0	0	0	20	0	0	134	134	приобрести	25	VERB
42	0	0	2	0	0	0	0	5	4	2	62	62	формироваться	13	VERB
43	0	0	0	0	0	0	0	14	0	0	28	28	проследить	14	VERB
44	2	4	94	1	24	0	0	447	300	19	8361	8361	они	891	PRON
45	0	0	12	0	0	0	0	5	0	6	64	64	распространяться	23	VERB
46	10	195	14	0	16	0	0	194	497	6	8982	8982	как	932	ADV
47	0	0	0	0	0	0	0	9	4	0	213	213	постепенно	13	ADV
48	0	0	1	0	0	0	0	0	0	0	26	26	словарь	1	NOUN
49	10	4	69	0	4	0	2	100	30	6	617	617	найти	225	VERB
50	4	2	15	0	0	0	0	12	2	11	281	281	касаться	46	VERB
51	0	26	56	0	24	0	0	360	1151	9	18155	18155	что	1626	PRON
52	2	2	56	0	0	0	0	20	19	3	272	272	слышать	102	VERB
53	6	4	94	3	28	0	0	597	390	28	11714	11714	он	1150	PRON
54	65	10	145	2	18	0	0	158	67	28	2508	2508	говорить	493	VERB
55	8	4	18	0	2	0	0	22	12	9	271	271	обладать	75	VERB
56	0	0	1	0	0	0	0	0	0	0	29	29	энциклопедия	1	NOUN
57	0	0	18	2	0	0	0	33	60	0	704	704	вообще	113	ADV
58	12	40	90	6	23	0	0	296	102	12	1903	1903	сказать	581	VERB
59	0	0	34	0	0	0	0	25	18	10	633	633	связать	87	VERB
60	0	0	4	0	0	0	0	3	2	0	60	60	напрямую	9	ADV
61	0	2	21	0	0	0	0	2	4	0	76	76	упоминать	29	VERB
62	5	2	46	0	0	0	0	17	19	2	290	290	отвечать	91	VERB
63	4	0	22	0	0	0	0	34	11	7	299	299	достичь	78	VERB
64	0	0	0	0	0	0	0	1	0	0	30	30	последовательно	1	ADV
65	0	0	51	7	10	0	0	850	208	0	8796	8796	который	1126	PRON
66	10	12	65	0	1	0	0	164	21	20	1248	1248	получить	293	VERB
67	0	0	10	0	3	0	0	104	58	0	1236	1236	например	175	ADV
68	0	2	2	0	2	0	0	5	0	0	74	74	записать	11	VERB
69	0	0	0	0	0	0	0	3	0	0	24	24	изобразить	3	VERB
70	0	0	3	0	0	0	0	0	0	0	28	28	зависимый	3	ADJ
71	0	268	0	0	0	0	0	0	0	0	1041	1041	хотя	268	PART
72	10	8	101	0	0	0	0	65	42	16	799	799	существовать	242	VERB
73	0	0	40	0	2	0	0	4	2	0	97	97	исключать	48	VERB
74	0	0	0	0	0	0	0	11	0	0	32	32	условно	11	ADV
75	29	4	81	0	0	0	0	132	75	15	1405	1405	считать	336	VERB
76	0	0	24	0	2	0	0	82	14	0	1502	1502	однако	122	ADV
77	7	4	15	0	4	0	0	22	17	14	319	319	вернуться	83	VERB
78	0	0	1	0	0	0	0	0	0	0	5346	5346	за	1	ADP
79	2	1	20	0	0	0	0	31	10	6	478	478	действовать	70	VERB
80	6	0	16	2	0	0	0	22	4	3	187	187	совершить	53	VERB
81	0	0	1	0	0	0	0	0	0	0	37	37	покорить	1	VERB
82	1	0	4	0	0	0	0	3	2	3	68	68	преодолеть	13	VERB
83	6	2	23	0	0	0	0	2	2	0	61	61	пустить	35	VERB
84	8	0	37	0	0	0	0	27	13	10	370	370	принимать	95	VERB
85	6	2	8	0	6	0	0	52	6	6	327	327	представить	86	VERB
86	4	4	16	0	0	0	0	29	10	8	518	518	проводить	71	VERB
87	0	0	4	0	0	0	0	2	0	0	20	20	удержать	6	VERB
88	1	0	0	0	0	0	0	0	0	0	66	66	крутой	1	ADJ
89	0	2	17	0	4	0	0	105	137	3	1494	1494	где	268	ADV
90	4	0	31	0	0	0	0	17	0	4	126	126	превышать	56	VERB
91	2	0	11	0	0	0	0	4	2	0	96	96	сталкиваться	19	VERB
92	0	0	0	0	0	0	0	7	1	0	32	32	отразить	8	VERB
93	0	0	161	0	0	0	0	32	26	0	617	617	менее	219	ADV
94	4	0	23	2	0	0	0	29	5	5	410	410	проходить	68	VERB
95	0	0	3	0	0	0	0	0	0	0	752	752	путь	3	NOUN
96	2	0	1	0	0	0	0	1	0	0	11	11	классифицировать	4	VERB
97	0	0	3	0	0	0	0	24	0	0	79	79	разделить	27	VERB
98	2	0	12	0	0	0	0	10	0	2	206	206	состояться	26	VERB
99	0	0	0	0	0	0	0	3	2	0	7	7	прировнять	5	VERB
100	0	0	34	0	0	0	0	70	17	0	548	548	вполне	121	ADV
101	10	7	46	0	0	0	0	43	10	8	649	649	пройти	124	VERB
102	2	2	14	0	0	0	0	6	0	6	165	165	принадлежать	30	VERB
103	0	0	0	0	0	0	0	0	1	0	13	13	регламентировать	1	VERB
104	0	0	6	1	0	0	0	48	24	0	400	400	действительно	79	ADV
105	0	2	2	0	0	0	0	24	4	0	158	158	осуществлять	32	VERB
106	22	3	17	0	1	0	0	23	16	6	579	579	пытаться	88	VERB
107	23	9	26	0	3	0	0	57	28	15	675	675	ставить	161	VERB
108	8	3	41	0	2	0	0	76	9	7	539	539	понять	146	VERB
109	0	0	2	0	0	0	0	8	0	4	58	58	исполнять	14	VERB
110	2	0	5	0	5	0	0	58	65	20	1038	1038	тогда	155	ADV
111	2	0	30	0	0	0	0	10	7	0	205	205	соответствовать	49	VERB
112	0	0	2	0	0	0	0	19	48	0	2639	2639	когда	69	ADV
113	4	0	13	0	0	0	0	34	15	11	447	447	создавать	77	VERB
114	0	0	0	0	0	0	0	5	2	0	76	76	впоследствии	7	ADV
115	0	0	0	0	0	0	0	3	0	0	3	3	кодифицировать	3	VERB
116	0	0	36	0	2	0	0	12	5	4	677	677	мало	59	NUM
117	0	0	0	0	0	0	0	1	0	0	71	71	возрастать	1	VERB
118	8	0	20	0	2	0	0	20	8	6	339	339	падать	64	VERB
119	2	0	0	0	0	0	0	7	0	0	59	59	осуществляться	9	VERB
120	0	2	4	0	0	0	0	15	2	0	134	134	описать	23	VERB
121	0	0	0	0	0	0	0	7	2	2	146	146	выступить	11	VERB
122	0	0	0	0	0	0	0	24	0	9	654	654	заявить	33	VERB
123	0	0	7	2	15	0	0	93	49	7	994	994	теперь	173	ADV
124	2	0	0	0	0	0	0	1	0	0	7	7	претерпеть	3	VERB
125	2	0	1	0	0	0	0	5	2	0	55	55	отвергнуть	10	VERB
126	2	0	4	0	0	0	0	3	0	2	23	23	отказывать	11	VERB
127	2	2	15	0	2	0	0	39	4	4	221	221	признать	68	VERB
128	0	0	4	0	0	0	0	7	6	0	149	149	наоборот	17	ADV
129	2	0	11	0	2	0	0	17	0	4	158	158	подтвердить	36	VERB
130	2	0	23	0	0	0	0	42	11	0	210	210	изменить	78	VERB
131	6	0	7	0	0	0	2	10	13	4	299	299	определять	42	VERB
132	0	0	9	0	0	0	0	23	2	2	389	389	отметить	36	VERB
133	2	0	8	0	0	0	0	6	0	0	49	49	соглашаться	16	VERB
134	0	0	5	0	0	0	0	13	8	5	162	162	свидетельствовать	31	VERB
135	0	0	4	0	0	0	0	4	2	0	41	41	исчерпать	10	VERB
136	0	0	2	0	0	0	0	3	2	4	67	67	нарастать	11	VERB
137	0	0	2	0	0	0	0	3	0	0	10	10	возвратить	5	VERB
138	0	0	1	0	0	0	0	0	0	0	2	2	тождественный	1	ADJ
139	22	7	198	0	6	0	6	143	53	33	1244	1244	видеть	468	VERB
140	0	0	1	0	0	0	0	0	0	0	43	43	массив	1	NOUN
141	0	0	0	0	0	0	0	3	0	0	17	17	возвести	3	VERB
142	1	0	15	0	1	0	0	33	13	1	296	296	искать	64	VERB
143	0	2	13	0	4	0	1	16	0	3	318	318	обнаружить	39	VERB
144	0	0	19	1	5	0	0	77	78	7	1366	1366	сейчас	187	ADV
145	2	0	2	0	6	0	0	22	13	19	566	566	начинать	64	VERB
146	0	0	3	0	0	0	0	6	0	0	68	68	предъявить	9	VERB
147	16	8	44	0	0	0	1	39	25	6	486	486	произойти	139	VERB
148	0	0	9	0	2	0	0	123	14	0	902	902	поэтому	148	ADV
149	0	2	59	0	2	0	0	49	24	0	900	900	ничто	136	PRON
150	0	0	3	0	0	0	0	4	0	0	42	42	скрыться	7	VERB
151	14	12	19	0	3	0	0	83	34	7	810	810	жить	172	VERB
152	0	0	39	0	2	0	0	35	2	0	974	974	пока	78	ADV
153	2	3	8	0	2	0	0	31	16	4	184	184	объяснить	66	VERB
154	0	0	7	0	0	0	0	4	0	0	11	11	сравниться	11	VERB
155	0	0	1	0	0	0	0	0	0	0	3	3	цунами	1	NOUN
156	11	0	0	0	1	0	0	22	8	0	365	365	продолжать	42	VERB
157	0	0	138	2	3	0	0	149	103	8	4418	4418	все	403	PRON
158	0	0	3	0	0	0	0	2	3	0	81	81	молчать	8	VERB
159	0	0	6	1	0	0	2	2	0	0	67	67	доказывать	11	VERB
160	0	0	1	0	0	0	0	0	0	0	120	120	океан	1	NOUN
161	0	0	7	0	0	0	0	0	0	0	80	80	исчезать	7	VERB
162	4	0	15	0	0	0	0	1	7	0	116	116	находить	27	VERB
163	2	0	0	0	0	0	0	3	1	0	93	93	серьезно	6	ADV
164	8	19	91	0	5	0	0	80	29	16	699	699	дать	248	VERB
165	6	4	0	0	2	0	0	17	0	0	110	110	снизить	29	VERB
166	0	0	0	0	0	0	0	0	0	1	5	5	зарождаться	1	VERB
167	0	0	1	0	0	0	0	0	0	0	33	33	автоматизация	1	NOUN
168	2	0	23	0	0	0	0	10	2	4	291	291	планировать	41	VERB
169	0	0	1	0	0	0	0	0	0	0	26	26	парадоксальный	1	ADJ
170	0	2	0	0	0	0	0	0	0	1	23	23	насчитываться	3	VERB
171	0	0	1	0	0	0	0	4	0	0	41	41	охватить	5	VERB
172	12	11	46	0	2	0	0	42	19	23	645	645	остаться	155	VERB
173	0	0	3	0	0	0	0	5	2	0	45	45	провоцировать	10	VERB
174	0	0	8	0	0	0	0	2	4	4	40	40	задумываться	18	VERB
175	0	0	30	0	2	0	0	7	4	0	308	308	сильно	43	ADV
176	2	0	2	0	0	0	0	10	0	0	233	233	разработать	14	VERB
177	18	10	119	0	0	0	0	0	0	0	1390	1390	нужный	147	ADJ
178	2	4	57	0	0	0	0	0	0	0	492	492	готовый	63	ADJ
179	10	4	31	0	2	0	0	39	6	5	259	259	менять	97	VERB
180	4	2	0	0	0	0	0	7	0	0	100	100	предоставить	13	VERB
181	0	0	8	0	0	0	0	5	0	0	61	61	довести	13	VERB
182	2	6	8	0	0	0	0	13	11	2	344	344	предложить	42	VERB
183	18	5	13	0	6	0	0	45	19	13	793	793	начать	119	VERB
184	0	0	5	0	0	0	0	0	0	0	107	107	обязательный	5	ADJ
185	13	0	28	0	0	0	2	147	14	12	972	972	использовать	216	VERB
186	0	0	3	0	0	0	0	11	2	6	107	107	обращаться	22	VERB
187	4	0	5	0	0	0	0	9	4	2	123	123	покупать	24	VERB
188	0	0	0	0	0	0	0	1	0	0	9	9	лицензировать	1	VERB
189	2	8	31	2	0	0	0	47	23	2	306	306	помочь	115	VERB
190	0	0	110	0	1	0	0	59	34	4	2219	2219	более	208	ADV
191	2	6	6	0	2	0	0	25	8	5	252	252	занять	54	VERB
192	0	0	0	0	5	0	0	65	0	0	1318	1318	также	70	ADV
193	0	0	17	0	0	0	0	9	2	2	183	183	производить	30	VERB
194	0	0	0	0	0	0	0	1	0	0	25	25	внедрять	1	VERB
195	0	0	1	0	0	0	0	0	0	0	18	18	наследовать	1	VERB
196	0	4	21	0	0	0	0	4	2	0	81	81	поверить	31	VERB
197	0	4	52	5	50	0	0	346	262	9	6462	6462	я	728	PRON
198	2	1	14	0	2	0	0	9	0	0	117	117	спать	28	VERB
199	2	17	20	0	2	0	0	88	6	0	373	373	назвать	135	VERB
200	0	2	2	0	2	0	0	25	16	0	212	212	учиться	47	VERB
201	14	4	31	0	5	0	0	39	20	10	632	632	вести	123	VERB
202	0	0	24	0	31	0	0	103	74	9	2661	2661	себя	241	PRON
203	1	0	10	0	0	0	0	7	0	0	54	54	оправдать	18	VERB
204	0	0	1	0	0	0	0	0	0	0	182	182	физика	1	NOUN
205	0	0	0	0	0	0	0	3	0	0	30	30	иллюстрировать	3	VERB
206	29	95	16	2	4	0	2	100	123	48	2384	2384	можно	419	ADV
207	0	1	3	0	0	0	0	3	0	1	39	39	завести	8	VERB
208	3	0	1	0	0	0	0	1	4	0	99	99	предполагаться	9	VERB
209	2	2	5	0	0	0	0	38	0	4	302	302	составить	51	VERB
210	0	0	40	0	0	0	0	0	1	0	95	95	случайно	41	ADV
211	6	1	2	0	0	0	0	20	0	1	98	98	формулировать	30	VERB
212	0	0	1	0	0	0	0	0	0	0	339	339	размер	1	NOUN
213	0	2	32	0	0	0	0	4	2	5	125	125	оставлять	45	VERB
214	0	2	5	0	0	0	0	2	6	0	44	44	сказываться	15	VERB
215	0	0	4	0	4	0	0	21	8	0	592	592	быстро	37	ADV
216	2	0	7	0	0	0	0	23	4	0	90	90	восстановить	36	VERB
217	2	0	8	0	0	0	0	2	2	0	44	44	останавливать	14	VERB
218	0	0	0	0	0	0	0	29	14	0	182	182	легко	43	ADV
219	0	0	7	0	0	0	0	24	2	4	186	186	управлять	37	VERB
220	0	0	5	0	0	0	0	0	0	2	42	42	отражаться	7	VERB
221	2	1	4	0	0	0	0	49	10	2	260	260	служить	68	VERB
222	4	2	6	0	0	0	0	15	3	0	146	146	устроить	30	VERB
223	0	0	0	0	0	0	0	1	0	0	3	3	истреблять	1	VERB
224	3	0	15	0	0	0	0	5	3	2	51	51	претендовать	28	VERB
225	2	0	53	0	0	0	0	6	0	0	113	113	исключить	61	VERB
226	2	0	10	0	0	0	0	6	2	0	116	116	подходить	20	VERB
227	3	0	4	0	2	0	0	2	6	0	95	95	описывать	17	VERB
228	0	0	10	0	0	0	0	0	0	0	1307	1307	государство	10	NOUN
229	69	69	205	0	9	0	0	62	61	4	875	875	хотеть	479	VERB
230	0	0	9	2	1	0	0	108	4	0	958	958	конечно	124	ADV
231	0	0	1	0	1	0	0	2	2	0	82	82	наступать	6	VERB
232	0	0	8	0	0	0	0	0	0	0	12	12	достроить	8	VERB
233	2	0	33	0	0	0	0	0	0	0	1103	1103	сила	35	NOUN
234	0	0	1	0	0	0	0	0	0	0	189	189	глубокий	1	ADJ
235	3	14	138	0	1	0	0	46	47	10	1161	1161	надо	259	ADV
236	0	2	9	0	0	0	0	0	2	2	118	118	открывать	15	VERB
237	0	0	2	0	0	0	0	0	0	1	15	15	пешком	3	ADV
238	0	0	2	0	0	0	0	0	1	3	42	42	преодолевать	6	VERB
239	6	0	4	0	0	0	0	19	12	4	160	160	ехать	45	VERB
240	1	0	3	0	0	0	0	1	0	0	23	23	выезжать	5	VERB
241	0	0	0	0	2	0	0	23	14	0	374	374	наконец	39	ADV
242	0	0	31	0	0	0	0	2	0	0	78	78	жалеть	33	VERB
243	0	9	0	0	0	0	0	0	0	0	161	161	словно	9	SCONJ
244	2	53	35	0	0	0	0	13	4	2	183	183	хотеться	109	VERB
245	10	8	96	0	4	0	0	87	39	20	1172	1172	работать	264	VERB
246	2	1	0	0	0	0	0	0	0	0	11	11	стучаться	3	VERB
247	1	1	1	0	0	0	0	0	0	0	5	5	отодвигать	3	VERB
248	0	0	13	0	0	0	0	0	2	2	17	17	слышно	17	ADV
249	0	0	1	0	0	0	0	0	0	0	224	224	ветер	1	NOUN
250	0	0	10	0	0	0	0	7	6	2	121	121	ощущать	25	VERB
251	0	0	33	0	4	0	0	127	49	0	3215	3215	уже	213	ADV
252	0	0	1	0	0	0	0	0	0	0	8	8	гудеть	1	VERB
253	8	4	7	0	0	0	0	0	0	0	1560	1560	большой	19	ADJ
254	0	0	25	0	0	0	0	0	0	0	2428	2428	первый	25	ADJ
255	18	6	18	0	2	0	0	79	28	7	1027	1027	оказаться	158	VERB
256	0	1	0	0	0	0	0	0	0	0	3	3	ощупь	1	NOUN
257	0	0	0	0	0	0	0	0	0	1	9	9	выбиться	1	VERB
258	0	0	0	0	0	0	0	3	0	0	8	8	освоиться	3	VERB
259	16	4	127	0	5	0	0	47	36	10	657	657	понимать	245	VERB
260	1	0	2	0	0	0	0	2	0	0	15	15	просыпаться	5	VERB
261	0	0	90	0	0	0	0	10	5	2	567	567	совсем	107	ADV
262	11	2	15	0	6	0	0	38	5	0	225	225	вспомянуть	77	VERB
263	3	0	19	0	0	0	0	8	10	4	262	262	приходить	44	VERB
264	0	0	2	1	0	0	0	1	0	0	36	36	заполнить	4	VERB
265	0	0	72	1	4	0	0	84	18	19	1120	1120	потому	198	ADV
266	2	0	65	0	2	0	0	4	12	2	212	212	собираться	87	VERB
267	2	0	0	0	4	0	0	13	2	0	191	191	стараться	21	VERB
268	0	0	1	0	0	0	0	2	0	0	9	9	сдвигать	3	VERB
269	4	2	82	8	0	0	2	41	49	15	647	647	думать	203	VERB
270	0	51	0	0	0	0	0	0	0	0	1216	1216	какой	51	DET
271	0	21	0	0	0	0	0	0	0	0	1209	1209	лишь	21	PART
272	6	2	64	0	0	0	0	11	9	2	193	193	успеть	94	VERB
273	10	2	54	0	0	0	0	15	5	8	298	298	входить	94	VERB
274	0	0	2	0	0	0	0	0	0	1	19	19	привыкать	3	VERB
275	8	0	41	0	0	0	0	38	2	2	323	323	заметить	91	VERB
276	0	0	0	0	0	0	0	1	0	0	3	3	по-всякому	1	ADV
277	0	0	9	0	0	0	0	0	2	1	21	21	смущать	12	VERB
278	0	0	2	0	0	0	0	2	1	0	58	58	приближаться	5	VERB
279	0	0	0	0	0	0	0	0	1	0	1	1	добродушно	1	ADV
280	0	0	0	0	0	0	0	0	1	0	5	5	усмехаться	1	VERB
281	0	0	2	0	0	0	0	2	44	2	136	136	откуда	50	ADV
282	0	1	7	0	2	0	0	7	13	2	117	117	браться	32	VERB
283	0	0	3	0	0	0	0	0	0	0	3	3	расхолаживать	3	VERB
284	0	0	9	0	0	0	0	13	6	5	215	215	объяснять	33	VERB
285	0	8	114	0	0	0	0	25	46	8	507	507	стоить	201	VERB
286	0	0	0	0	0	0	0	0	1	1	8	8	помещаться	2	VERB
287	0	2	39	0	0	0	0	6	0	0	75	75	сомневаться	47	VERB
288	2	2	18	0	1	0	0	19	13	14	297	297	ходить	69	VERB
289	0	1	8	0	0	0	0	4	0	4	76	76	увеличивать	17	VERB
290	0	14	13	0	12	0	0	121	87	6	3109	3109	еще	253	ADV
291	0	0	1	0	0	0	0	0	0	0	1	1	приостановиться	1	VERB
292	0	0	1	0	0	0	0	0	0	0	1	1	припустить	1	VERB
293	0	0	16	0	0	0	0	10	0	2	56	56	трогать	28	VERB
294	4	0	37	0	0	0	0	13	10	4	239	239	чувствовать	68	VERB
295	0	0	1	0	0	0	0	0	0	0	11	11	плоть	1	NOUN
296	0	0	2	0	0	0	0	0	0	0	81	81	радость	2	NOUN
297	59	32	145	6	11	0	0	318	182	21	2380	2380	делать	774	VERB
298	0	0	0	0	0	0	0	0	0	1	7	7	проклясть	1	VERB
299	0	0	112	0	3	0	0	49	9	0	737	737	всегда	173	ADV
300	0	0	6	0	0	0	0	1	0	2	21	21	сознавать	9	VERB
301	2	4	46	0	0	0	0	0	0	0	4408	4408	такой	52	DET
302	0	0	1	0	0	0	0	0	0	0	3	3	доделать	1	VERB
303	0	0	2	0	0	0	0	2	0	0	30	30	ощутить	4	VERB
304	5	0	37	0	1	0	0	19	10	0	186	186	забыть	72	VERB
305	0	0	39	0	0	0	0	0	0	0	2747	2747	самый	39	ADJ
306	2	2	0	0	0	0	0	9	0	0	88	88	ездить	13	VERB
307	0	0	8	0	0	0	0	0	0	0	456	456	смысл	8	NOUN
308	9	0	55	0	0	0	0	19	26	0	265	265	помнить	109	VERB
309	0	0	17	0	0	0	0	8	6	0	80	80	спорить	31	VERB
310	0	0	0	0	0	0	0	1	0	0	6	6	съездить	1	VERB
311	0	0	3	0	0	0	0	2	0	0	33	33	садиться	5	VERB
312	1	0	72	0	0	0	0	8	10	9	327	327	бывать	100	VERB
313	0	0	1	0	0	0	0	0	0	0	3	3	по-мужски	1	ADV
314	5	0	105	0	0	0	0	6	2	4	183	183	хватать	122	VERB
315	6	2	27	0	0	0	0	44	10	13	290	290	решать	102	VERB
316	2	0	25	2	1	0	0	32	48	4	741	741	тут	114	ADV
317	0	0	0	0	0	0	0	1	0	0	8	8	обобщать	1	VERB
318	0	0	1	0	0	0	0	0	0	0	10	10	добираться	1	VERB
319	4	4	20	1	2	0	0	16	6	0	152	152	отдать	53	VERB
320	6	6	6	0	0	0	0	26	8	5	256	256	возникнуть	57	VERB
321	0	0	2	0	0	0	0	41	15	3	581	581	что-то	61	PRON
322	8	4	38	0	0	0	0	22	22	6	742	742	называть	100	VERB
323	3	0	2	0	0	0	0	21	0	0	75	75	сровнять	26	VERB
324	0	0	1	0	0	0	0	0	0	0	3	3	слепок	1	NOUN
325	2	0	12	0	0	0	0	15	10	6	210	210	стремиться	45	VERB
326	0	0	9	0	0	0	0	0	0	0	5440	5440	свой	9	DET
327	1	0	7	0	0	0	0	2	0	0	133	133	вспоминать	10	VERB
328	0	0	1	0	0	0	0	0	0	0	107	107	разрешение	1	NOUN
329	4	3	11	2	0	0	0	18	2	0	87	87	остановить	40	VERB
330	4	0	0	0	0	0	0	5	4	3	90	90	собраться	16	VERB
331	0	0	0	0	0	0	0	1	0	0	7	7	отпадать	1	VERB
332	0	0	4	0	0	0	0	19	2	0	110	110	проверить	25	VERB
333	2	0	13	0	0	0	0	34	8	3	289	289	уйти	60	VERB
334	2	0	3	0	0	0	0	0	0	0	288	288	жена	5	NOUN
335	2	0	1	0	0	0	0	4	0	0	49	49	подобрать	7	VERB
336	5	2	38	3	15	0	0	277	203	8	5186	5186	она	551	PRON
337	0	2	3	0	0	0	0	3	4	0	64	64	рисовать	12	VERB
338	45	0	41	3	2	0	0	34	30	14	1642	1642	нет	169	VERB
339	0	0	7	0	2	0	0	68	7	0	653	653	никто	84	PRON
340	0	1	0	0	0	0	0	0	0	0	5	5	неуверенный	1	ADJ
341	1	1	8	0	0	0	0	0	0	0	259	259	чистый	10	ADJ
342	0	0	7	0	0	0	0	6	2	0	61	61	скрыть	15	VERB
343	0	0	12	0	0	0	0	4	0	5	35	35	догадываться	21	VERB
344	0	0	93	3	31	0	0	503	265	13	6043	6043	мы	908	PRON
345	0	0	0	0	0	0	0	1	0	0	1	1	допытываться	1	VERB
346	0	0	0	0	0	0	0	5	4	0	110	110	отсюда	9	ADV
347	0	4	15	2	4	0	0	15	8	10	249	249	читать	58	VERB
348	0	0	24	0	2	0	0	36	8	4	312	312	вызвать	74	VERB
349	1	1	0	0	0	0	0	0	0	0	23	23	циничный	2	ADJ
350	0	1	1	0	0	0	0	0	0	0	12	12	разоблачать	2	VERB
351	0	0	0	0	0	0	0	1	0	0	11	11	растворить	1	VERB
352	2	0	15	0	0	0	0	0	0	0	92	92	виноватый	17	ADJ
353	8	22	16	0	0	0	0	15	18	0	478	478	прийтись	79	VERB
354	2	0	21	0	0	0	0	6	0	0	60	60	подозревать	29	VERB
355	0	0	17	2	34	0	0	41	150	0	842	842	ты	244	PRON
356	4	0	36	0	0	0	0	8	7	0	84	84	замечать	55	VERB
357	0	0	2	0	0	0	0	4	5	0	64	64	бегать	11	VERB
358	0	0	0	0	0	0	0	0	1	0	21	21	немножко	1	ADV
359	0	0	0	0	0	0	0	0	1	0	7	7	боком	1	ADV
360	4	0	71	0	0	0	0	0	0	0	5237	5237	весь	75	DET
361	0	0	1	0	0	0	0	0	0	0	112	112	потребность	1	NOUN
362	24	0	214	2	17	0	0	246	255	13	4349	4349	так	771	ADV
363	0	0	3	0	0	0	0	1	0	0	24	24	раздражать	4	VERB
364	0	0	7	0	0	0	0	11	5	0	294	294	иначе	23	ADV
365	0	0	1	0	2	0	0	13	3	0	425	425	никогда	19	ADV
366	0	0	85	0	0	0	0	0	0	0	0	0		85	
367	0	26	11	0	0	0	0	54	357	0	581	581	почему	448	ADV
368	2	0	1	0	0	0	0	0	0	0	7	7	заводиться	3	VERB
369	0	0	0	0	0	0	0	4	93	0	147	147	зачем	97	ADV
370	0	0	0	0	0	0	0	6	3	0	84	84	спокойно	9	ADV
371	0	0	0	0	0	0	0	0	3	0	5	5	ласково	3	ADV
372	2	0	25	0	0	0	0	0	0	0	277	277	похожий	27	ADJ
373	10	2	30	0	0	0	0	16	20	8	345	345	возникать	86	VERB
374	4	6	28	0	0	0	0	32	11	2	462	462	выйти	83	VERB
375	0	0	1	0	0	0	0	0	0	0	6	6	раздражаться	1	VERB
376	0	0	0	0	2	0	0	6	2	0	315	315	обычно	10	ADV
377	0	0	7	0	0	0	0	11	2	0	49	49	терпеть	20	VERB
378	6	0	3	0	0	0	0	0	2	0	50	50	случаться	11	VERB
