	COND	CONDIRR	DN	DNN	IMP	IN	IRR	MODAL	QUEST	RESTR	all_occ	all_other	lemma	nonver	pos
0	4	2	8	0	2	0	0	28	3	12	194	194	выполнять	59	VERB
1	31	43	206	0	0	0	0	243	73	50	2755	2755	стать	646	VERB
2	0	0	1	0	0	0	0	1	2	0	45	45	параллельно	4	ADV
3	0	0	2	0	0	0	0	22	0	0	269	269	одновременно	24	ADV
4	4	2	56	0	0	0	0	11	4	11	488	488	позволять	88	VERB
5	2	0	52	0	30	0	0	445	493	32	10256	10256	это	1054	PRON
6	0	0	385	2	3	0	0	351	197	92	9561	9561	то	1030	PRON
7	4	2	46	0	0	0	0	22	20	7	465	465	представлять	101	VERB
8	113	70	649	0	16	0	0	736	315	60	18644	18644	быть	1959	VERB
9	0	2	15	0	0	0	0	10	0	6	157	157	включать	33	VERB
10	0	2	3	0	0	0	0	8	8	0	114	114	задать	21	VERB
11	0	0	0	0	0	0	0	1	0	0	9	9	корректно	1	ADV
12	0	0	0	0	0	0	0	5	0	0	36	36	завершать	5	VERB
13	0	0	1	0	0	0	0	3	2	0	54	54	выдать	6	VERB
14	1	0	13	0	0	0	0	14	2	2	284	284	приводить	32	VERB
15	10	4	121	0	5	0	0	30	22	10	807	807	давать	202	VERB
16	0	0	23	0	0	0	0	15	5	4	156	156	содержать	47	VERB
17	0	2	11	0	0	0	0	9	2	5	149	149	сохраниться	29	VERB
18	5	4	16	0	0	0	0	18	0	2	89	89	дойти	45	VERB
19	0	0	33	0	2	0	0	82	59	2	1253	1253	сегодня	178	ADV
20	2	9	31	2	4	0	0	183	321	0	1796	1796	кто	552	PRON
21	0	0	121	0	2	0	2	73	12	4	1842	1842	очень	214	ADV
22	6	107	14	0	0	0	0	76	27	13	740	740	казаться	243	VERB
23	22	13	347	0	4	0	2	139	72	30	1695	1695	иметь	629	VERB
24	4	0	25	0	0	0	0	53	9	16	479	479	заниматься	107	VERB
25	0	0	0	0	0	0	0	11	1	0	126	126	разумеется	12	ADV
26	0	0	0	0	0	0	0	28	2	0	200	200	вряд	30	ADV
27	6	4	4	0	4	0	0	13	4	0	104	104	счесть	35	VERB
28	10	19	362	0	2	0	2	94	83	18	1212	1212	знать	590	VERB
29	5	6	59	0	0	0	1	12	5	12	261	261	уметь	100	VERB
